"city","routeuid","routeid","subrouteid","direction","sequence","fromstopid","tostopid","distance","updatetime","etl_dtm"
Kaohsiung,KHH1111,"1111","1111",0,11,"101111145201","10111174121",5631.79,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,12,"10111174121","101111400081",263.74,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,13,"101111400081","101111167841",928.57,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,14,"101111167841","101111184651",527.38,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,15,"101111184651","101111145431",4745.31,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,16,"101111145431","101111145491",3264.99,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,17,"101111145491","101111145521",13821.97,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",0,18,"101111145521","101111145631",14360.3,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",1,1,,"101111145642",,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",1,2,"101111145642","101111145742",14682.07,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
Kaohsiung,KHH1111,"1111","1111",1,3,"101111145742","101111145782",14013.41,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.317
